Jul 24 07:57:48 knight-t101 systemd[1]: Starting lods-installer.service - projekt-lods installer...
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libpopt0 1.19+dfsg-2
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libpopt0 1.19+dfsg-2
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libproc2-0 2:4.0.4-9
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libproc2-0 2:4.0.4-9
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libreadline8t64 8.2-6
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libreadline8t64 8.2-6
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libseccomp2 2.6.0-2
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libseccomp2 2.6.0-2
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libselinux1 3.8.1-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libselinux1 3.8.1-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libsemanage-common 3.8.1-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libsemanage-common 3.8.1-1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libsemanage2 3.8.1-1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libsemanage2 3.8.1-1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libsepol2 3.8.1-1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libsepol2 3.8.1-1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libslang2 2.3.3-5+b2
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libslang2 2.3.3-5+b2
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libsmartcols1 2.41-5
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libsmartcols1 2.41-5
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libsqlite3-0 3.46.1-7+deb13u1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libsqlite3-0 3.46.1-7+deb13u1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libss2 1.47.2-3+b11
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libss2 1.47.2-3+b11
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libssl3t64 3.5.6-1~deb13u2
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libssl3t64 3.5.6-1~deb13u2
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libstdc++6 14.2.0-19
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libstdc++6 14.2.0-19
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libsystemd-shared 257.13-1~deb13u1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Validating libsystemd-shared 257.13-1~deb13u1
Jul 24 07:58:10 knight-t101 python3[1695]: I: Retrieving libsystemd0 257.13-1~deb13u1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libsystemd0 257.13-1~deb13u1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libtext-charwidth-perl 0.04-11+b4
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libtext-charwidth-perl 0.04-11+b4
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libtext-iconv-perl 1.7-8+b4
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libtext-iconv-perl 1.7-8+b4
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libtext-wrapi18n-perl 0.06-10
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libtext-wrapi18n-perl 0.06-10
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libtinfo6 6.5+20250216-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libtinfo6 6.5+20250216-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libtirpc-common 1.3.6+ds-1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libtirpc-common 1.3.6+ds-1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libtirpc3t64 1.3.6+ds-1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libtirpc3t64 1.3.6+ds-1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libudev1 257.13-1~deb13u1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libudev1 257.13-1~deb13u1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libunistring5 1.3-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libunistring5 1.3-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libuuid1 2.41-5
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libuuid1 2.41-5
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libxtables12 1.8.11-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libxtables12 1.8.11-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libxxhash0 0.8.3-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libxxhash0 0.8.3-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving libzstd1 1.5.7+dfsg-1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating libzstd1 1.5.7+dfsg-1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving linux-sysctl-defaults 4.12.1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating linux-sysctl-defaults 4.12.1
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving login 1:4.16.0-2+really2.41-5
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating login 1:4.16.0-2+really2.41-5
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving login.defs 1:4.17.4-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Validating login.defs 1:4.17.4-2
Jul 24 07:58:11 knight-t101 python3[1695]: I: Retrieving logrotate 3.22.0-1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating logrotate 3.22.0-1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving logsave 1.47.2-3+b11
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating logsave 1.47.2-3+b11
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving mawk 1.3.4.20250131-1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating mawk 1.3.4.20250131-1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving mount 2.41-5
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating mount 2.41-5
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving nano 8.4-1+deb13u1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating nano 8.4-1+deb13u1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving ncurses-base 6.5+20250216-2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating ncurses-base 6.5+20250216-2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving ncurses-bin 6.5+20250216-2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating ncurses-bin 6.5+20250216-2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving netbase 6.5
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating netbase 6.5
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving nftables 1.1.3-1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating nftables 1.1.3-1
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving openssl-provider-legacy 3.5.6-1~deb13u2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating openssl-provider-legacy 3.5.6-1~deb13u2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving passwd 1:4.17.4-2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating passwd 1:4.17.4-2
Jul 24 07:58:12 knight-t101 python3[1695]: I: Retrieving perl-base 5.40.1-6
Jul 24 07:58:12 knight-t101 python3[1695]: I: Validating perl-base 5.40.1-6
